Year, hPa, AbDailyMax, MeanDailyMax, Mean, MeanDailyMin, AbDailyMin, TotalRainFall
1884, NaN, 33.9, 24.6, NaN, 19.7, 6.0, 1918.0
1885, 1013.3, 31.8, 23.7, 21.5, 19.8, 7.2, 2769.1
1886, 1013.4, 32.1, 23.5, 21.4, 19.7, 5.4, 1756.9
1887, 1012.7, 32.6, 24.0, 21.8, 19.9, 6.0, 1685.0
1888, 1012.2, 33.8, 24.6, 22.5, 20.6, 4.8, 2656.2
1889, 1012.6, 33.6, 24.8, 22.3, 20.3, 4.6, 3041.8
1890, 1012.2, 34.3, 25.4, 22.2, 19.9, 6.7, 1802.3
1891, 1012.4, 33.8, 24.8, 22.1, 20.0, 7.1, 2974.5
1892, 1012.5, 34.4, 24.5, 21.7, 19.5, 6.8, 2309.7
1893, 1013.1, 33.5, 24.0, 21.4, 19.4, 0.0, 2539.1
1894, 1012.6, 33.8, 24.6, 22.1, 20.1, 5.2, 2647.6
1895, 1012.7, 34.4, 24.7, 22.0, 20.0, 6.4, 1164.2
1896, 1012.7, 34.4, 24.7, 22.2, 20.2, 4.8, 1848.6
1897, 1012.6, 33.2, 24.6, 22.1, 20.0, 5.0, 2540.6
1898, 1011.5, 33.1, 25.1, 22.4, 20.1, 7.8, 1447.7
1899, 1012.7, 33.8, 24.9, 22.2, 20.1, 6.4, 1847.2
1900, 1012.9, 36.1, 24.5, 22.0, 20.0, 3.1, 1873.5
1901, 1012.9, 33.7, 25.0, 22.3, 20.3, 3.6, 1418.8
1902, 1013.0, 33.4, 25.7, 23.0, 20.9, 4.7, 2477.2
1903, 1013.3, 33.6, 24.6, 22.0, 19.9, 5.5, 2378.5
1904, 1012.7, 32.8, 24.7, 22.0, 19.9, 7.1, 2043.3
1905, 1012.7, 32.9, 24.5, 22.0, 20.0, 6.0, 1801.9
1906, 1012.1, 34.3, 24.7, 22.1, 20.0, 8.2, 1977.3
1907, 1012.3, 33.1, 24.8, 22.3, 20.2, 7.2, 2377.7
1908, 1012.5, 33.7, 24.6, 22.1, 20.1, 6.5, 2335.9
1909, 1012.2, 32.7, 25.0, 22.6, 20.5, 9.3, 1926.2
1910, 1012.3, 32.9, 24.8, 22.2, 20.1, 6.8, 1782.3
1911, 1012.1, 33.9, 24.7, 22.3, 20.4, 8.4, 2302.1
1912, 1012.8, 33.6, 24.8, 22.2, 20.1, 7.4, 1625.2
1913, 1012.8, 33.3, 24.7, 22.2, 20.1, 6.7, 2129.1
1914, 1012.6, 34.4, 25.5, 23.0, 21.0, 8.6, 2545.8
1915, 1012.3, 34.1, 25.5, 23.0, 20.9, 5.4, 1930.5
1916, 1012.2, 33.6, 24.7, 22.1, 19.9, 4.1, 2027.1
